kws_method,semantic_similarity,cutoff_threshold,weighting_factor,map@25,map@50
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,0.6000000000000001,89.30826471026003,71.8596158302265
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,0.6000000000000001,88.19407040516741,70.95957837149795
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,0.6000000000000001,89.22869081888955,71.7905383264986
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,0.6000000000000001,88.30708041040546,71.04285277486525
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.6000000000000001,89.33352095345975,71.88733812049372
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,0.7000000000000001,87.71254342042977,70.61306913530312
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,0.7000000000000001,88.5768515907057,71.30144830298318
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,0.7000000000000001,87.77269162656812,70.72241107990043
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,0.7000000000000001,88.62423853372711,71.35407296097301
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,0.7000000000000001,87.74222240815688,70.64307327535703
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.7000000000000001,88.48397631594047,71.21108069792123
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,0.8,87.26462214374006,70.28232587777511
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,0.8,87.90536699211603,70.7984676662852
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,0.8,87.32825762377378,70.33787988871298
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,0.8,87.91364253679816,70.80564440873377
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,0.8,87.22639906037963,70.24209932368169
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.8,87.86426750482777,70.7682374948646
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,0.9,86.90335692105283,70.00667933199205
